timestamp,open,high,low,close,volume,netflow_total,exchange_whale_ratio,funding_rates,average_dormancy,sa_average_dormancy
2024-08-22,61156.0300000000,61400.0000000000,59724.8700000000,60375.8400000000,21241.2058800000,-275.9379819100,0.3317075200,-0.0037184400,8.4264415600,0.0000004300
2024-08-23,60375.8300000000,64955.0000000000,60342.1400000000,64037.2400000000,38118.0708900000,-3825.5760780600,0.3001724100,-0.0021577100,10.4455318700,0.0000005300
2024-08-24,64037.2400000000,64494.5000000000,63531.0000000000,64157.0100000000,15857.1561600000,472.2808692100,0.3726545300,0.0022521000,6.6050285800,0.0000003300
2024-08-25,64157.0200000000,65000.0000000000,63773.2700000000,64220.0000000000,12305.4797700000,-952.3993375600,0.4395702500,0.0002503700,5.1241397200,0.0000002600
2024-08-26,64219.9900000000,64481.0000000000,62800.0000000000,62834.0000000000,19470.0527600000,516.2706304100,0.3976335500,0.0011818700,7.7193200000,0.0000003900
2024-08-27,62834.0000000000,63212.0000000000,58034.0100000000,59415.0000000000,35135.9417800000,805.4897492300,0.3892814000,0.0046755200,18.2862260700,0.0000009300
2024-08-28,59415.0000000000,60234.9800000000,57860.0000000000,59034.9000000000,36868.5427500000,1066.7884042600,0.3696032900,-0.0016501800,6.8208117100,0.0000003500
2024-08-29,59034.9000000000,61166.9900000000,58713.0900000000,59359.0100000000,27020.9074300000,-1988.2795174900,0.3648340000,0.0000038500,52.5996795500,0.0000026600
2024-08-30,59359.0000000000,59944.0700000000,57701.1000000000,59123.9900000000,28519.3219500000,495.5885932900,0.3428750400,0.0012690100,7.0058516800,0.0000003500
2024-08-31,59123.9900000000,59462.3800000000,58744.0000000000,58973.9900000000,8798.4090000000,2358.1910779500,0.5909438500,0.0027711800,17.8414096300,0.0000009000
2024-09-01,58974.0000000000,59076.5900000000,57201.0000000000,57301.8600000000,20705.1574100000,-111.9428846700,0.4508152700,-0.0017857100,2.8412877500,0.0000001400
2024-09-02,57301.7700000000,59425.6900000000,57128.0000000000,59132.1300000000,22895.0146100000,-524.6937145100,0.5748838900,0.0012342800,5.5503291000,0.0000002800
2024-09-03,59132.1200000000,59809.6500000000,57415.0000000000,57487.7300000000,22828.1844700000,1269.4487522100,0.5030534100,0.0036309500,8.6411518700,0.0000004400
2024-09-04,57487.7400000000,58519.0000000000,55606.0000000000,57970.9000000000,35560.8214600000,-815.9644484700,0.3811115700,0.0018608300,10.6448290700,0.0000005400
2024-09-05,57970.9000000000,58327.0700000000,55643.6500000000,56180.0000000000,27806.9141300000,2387.9889049100,0.4258574100,0.0042222700,7.5757069100,0.0000003800
2024-09-06,56180.0000000000,57008.0000000000,52550.0000000000,53962.9700000000,54447.7682600000,3469.9571313200,0.4053877800,0.0007616200,13.6013632200,0.0000006900
2024-09-07,53962.9700000000,54850.0000000000,53745.5400000000,54160.8600000000,16694.0477400000,-553.5943005500,0.4106382900,-0.0045428600,4.0767525100,0.0000002100
2024-09-08,54160.8600000000,55318.0000000000,53629.0100000000,54869.9500000000,16274.1477900000,-1100.0692137900,0.4380148000,-0.0049578000,3.4662030800,0.0000001800
2024-09-09,54869.9500000000,58088.0000000000,54591.9600000000,57042.0000000000,32384.5173700000,-3295.3466609300,0.4456326500,-0.0080795600,13.0992395600,0.0000006600
2024-09-10,57042.0100000000,58044.3600000000,56386.4000000000,57635.9900000000,23626.7812600000,-1736.5249079500,0.3374945200,-0.0033406900,7.3351183900,0.0000003700
2024-09-11,57635.9900000000,57981.7100000000,55545.1900000000,57338.0000000000,33026.5675700000,-1885.7168425200,0.4062718400,-0.0038140600,5.4455465700,0.0000002800
2024-09-12,57338.0000000000,58588.0000000000,57324.0000000000,58132.3200000000,31074.4063100000,-1485.8808841200,0.4119590000,-0.0021009300,5.9028449900,0.0000003000
2024-09-13,58132.3100000000,60625.0000000000,57632.6200000000,60498.0000000000,29825.2333300000,-4495.3568172300,0.5369794400,-0.0024663900,13.2343041500,0.0000006700
2024-09-14,60497.9900000000,60610.4500000000,59400.0000000000,59993.0300000000,12137.9090100000,-1438.3026625500,0.4357106700,-0.0017084800,4.5348650600,0.0000002300
2024-09-15,59993.0200000000,60395.8000000000,58691.0500000000,59132.0000000000,13757.9236100000,473.8603570900,0.5243913200,0.0010942400,7.6614596400,0.0000003900
